Phase 3 - OrderedModel (proportional odds) for SPRENER
Coefficients on standardised drivers; OR = exp(coef), per 1 SD. sig: *** p<0.001, ** p<0.01, * p<0.05
============================================================================================================================================================
feature  | coef    | OR    | OR_lo | OR_hi | z       | p          | sig
---------+---------+-------+-------+-------+---------+------------+----
class 1 | ESRISO2  |  0.00186 | 0.00037 |   5.011 | 5.428e-07
class 1 | REGMf    |  0.00146 | 0.00038 |   3.797 | 0.0001466
class 1 | TRAF     | -0.00076 | 0.00037 |  -2.059 |   0.03952
class 2 | SESSO    |  0.00042 | 0.00007 |   6.242 | 4.311e-10
class 2 | ETAMi    |  0.00140 | 0.00018 |   7.819 | 5.329e-15
class 2 | ISTRMi   |  0.00009 | 0.00004 |   2.082 |   0.03733
class 2 | CONDMi   | -0.00027 | 0.00006 |  -4.307 | 1.654e-05
class 2 | REDPRMi  | -0.00017 | 0.00006 |  -2.916 |  0.003541
class 2 | STCIVMi  |  0.00002 | 0.00005 |   0.322 |    0.7477
class 2 | NCOMP    | -0.00019 | 0.00005 |  -3.581 |  0.000342
class 2 | SERRA    |  0.00033 | 0.00006 |   5.590 | 2.266e-08
class 2 | ESTINZ   |  0.00030 | 0.00006 |   5.244 | 1.572e-07
class 2 | CAMCLI   |  0.00048 | 0.00007 |   6.617 | 3.654e-11
class 2 | SMARIF   |  0.00047 | 0.00007 |   6.559 | 5.412e-11
class 2 | AMRUM    |  0.00010 | 0.00004 |   2.182 |   0.02909
class 2 | IARIA    |  0.00043 | 0.00007 |   6.311 | 2.776e-10
class 2 | INQSU    |  0.00031 | 0.00006 |   5.322 | 1.028e-07
class 2 | INQFIU   |  0.00038 | 0.00006 |   6.012 | 1.838e-09
class 2 | DISDR    |  0.00033 | 0.00006 |   5.533 | 3.146e-08
class 2 | CATASTR  |  0.00031 | 0.00006 |   5.422 | 5.892e-08
class 2 | FORES2   |  0.00025 | 0.00005 |   4.743 |  2.11e-06
class 2 | INQELET2 |  0.00025 | 0.00005 |   4.724 | 2.311e-06
class 2 | PAESAG2  |  0.00019 | 0.00005 |   3.842 | 0.0001219
class 2 | ESRISO2  |  0.00022 | 0.00005 |   4.334 | 1.465e-05
class 2 | REGMf    |  0.00017 | 0.00005 |   3.484 | 0.0004948
class 2 | TRAF     | -0.00009 | 0.00004 |  -2.002 |    0.0453
class 3 | SESSO    | -0.02594 | 0.00269 |  -9.659 |         0
class 3 | ETAMi    | -0.08590 | 0.00338 | -25.400 |         0
class 3 | ISTRMi   | -0.00573 | 0.00266 |  -2.150 |   0.03153
class 3 | CONDMi   |  0.01648 | 0.00330 |   4.996 | 5.841e-07
class 3 | REDPRMi  |  0.01027 | 0.00329 |   3.118 |  0.001819
class 3 | STCIVMi  | -0.00103 | 0.00321 |  -0.322 |    0.7474
class 3 | NCOMP    |  0.01183 | 0.00297 |   3.991 | 6.575e-05
class 3 | SERRA    | -0.02036 | 0.00266 |  -7.651 | 1.998e-14
class 3 | ESTINZ   | -0.01813 | 0.00266 |  -6.804 | 1.016e-11
class 3 | CAMCLI   | -0.02963 | 0.00264 | -11.234 |         0
class 3 | SMARIF   | -0.02894 | 0.00264 | -10.954 |         0
class 3 | AMRUM    | -0.00602 | 0.00266 |  -2.262 |   0.02371
class 3 | IARIA    | -0.02622 | 0.00265 |  -9.881 |         0
class 3 | INQSU    | -0.01885 | 0.00269 |  -6.997 | 2.624e-12
class 3 | INQFIU   | -0.02350 | 0.00266 |  -8.834 |         0
class 3 | DISDR    | -0.02024 | 0.00269 |  -7.525 | 5.262e-14
class 3 | CATASTR  | -0.01908 | 0.00264 |  -7.221 | 5.158e-13
class 3 | FORES2   | -0.01532 | 0.00264 |  -5.809 | 6.295e-09
class 3 | INQELET2 | -0.01541 | 0.00267 |  -5.780 | 7.449e-09
class 3 | PAESAG2  | -0.01144 | 0.00263 |  -4.349 |  1.37e-05
class 3 | ESRISO2  | -0.01330 | 0.00261 |  -5.098 | 3.432e-07
class 3 | REGMf    | -0.01042 | 0.00272 |  -3.836 | 0.0001249
class 3 | TRAF     |  0.00543 | 0.00263 |   2.066 |   0.03887
