Phase 3 - OrderedModel (proportional odds) for SPRACQUA
Coefficients on standardised drivers; OR = exp(coef), per 1 SD. sig: *** p<0.001, ** p<0.01, * p<0.05
=============================================================================================================================================================
feature  | coef    | OR    | OR_lo | OR_hi | z       | p          | sig
---------+---------+-------+-------+-------+---------+------------+----
class 1 | CATASTR  |  0.00267 | 0.00033 |   8.022 |  1.11e-15
class 1 | FORES2   |  0.00204 | 0.00032 |   6.278 | 3.425e-10
class 1 | INQELET2 |  0.00193 | 0.00033 |   5.902 | 3.589e-09
class 1 | PAESAG2  |  0.00102 | 0.00031 |   3.238 |  0.001205
class 1 | ESRISO2  |  0.00209 | 0.00032 |   6.448 | 1.135e-10
class 1 | REGMf    |  0.00310 | 0.00071 |   4.386 | 1.155e-05
class 1 | RIPMf    | -0.00203 | 0.00068 |  -2.999 |  0.002708
class 1 | SPORCO   |  0.00106 | 0.00036 |   2.930 |  0.003387
class 1 | TRAF     | -0.00122 | 0.00035 |  -3.445 | 0.0005702
class 1 | ODSGR    |  0.00083 | 0.00036 |   2.334 |   0.01959
class 1 | ECOSTAZ  | -0.00073 | 0.00031 |  -2.348 |   0.01887
class 2 | SESSO    |  0.00035 | 0.00006 |   5.919 | 3.242e-09
class 2 | ETAMi    |  0.00083 | 0.00013 |   6.582 | 4.626e-11
class 2 | CONDMi   | -0.00019 | 0.00005 |  -4.105 | 4.041e-05
class 2 | REDPRMi  | -0.00006 | 0.00004 |  -1.540 |    0.1235
class 2 | TIPFA2Mi | -0.00008 | 0.00004 |  -2.195 |   0.02813
class 2 | STCIVMi  | -0.00002 | 0.00004 |  -0.417 |    0.6765
class 2 | NCOMP    | -0.00004 | 0.00004 |  -1.121 |    0.2624
class 2 | SERRA    |  0.00027 | 0.00005 |   5.433 | 5.547e-08
class 2 | ESTINZ   |  0.00024 | 0.00005 |   5.165 |  2.41e-07
class 2 | CAMCLI   |  0.00029 | 0.00005 |   5.640 | 1.702e-08
class 2 | SMARIF   |  0.00035 | 0.00006 |   5.933 | 2.966e-09
class 2 | AMRUM    |  0.00002 | 0.00003 |   0.787 |    0.4313
class 2 | IARIA    |  0.00028 | 0.00005 |   5.530 | 3.201e-08
class 2 | INQSU    |  0.00026 | 0.00005 |   5.317 | 1.056e-07
class 2 | INQFIU   |  0.00028 | 0.00005 |   5.515 | 3.497e-08
class 2 | DISDR    |  0.00021 | 0.00004 |   4.915 | 8.865e-07
class 2 | CATASTR  |  0.00025 | 0.00005 |   5.342 | 9.182e-08
class 2 | FORES2   |  0.00019 | 0.00004 |   4.727 | 2.282e-06
class 2 | INQELET2 |  0.00018 | 0.00004 |   4.556 | 5.217e-06
class 2 | PAESAG2  |  0.00010 | 0.00003 |   2.952 |  0.003157
class 2 | ESRISO2  |  0.00020 | 0.00004 |   4.799 | 1.597e-06
class 2 | REGMf    |  0.00030 | 0.00008 |   3.750 |  0.000177
class 2 | RIPMf    | -0.00019 | 0.00007 |  -2.769 |  0.005616
class 2 | SPORCO   |  0.00010 | 0.00004 |   2.711 |  0.006699
class 2 | TRAF     | -0.00012 | 0.00004 |  -3.102 |  0.001924
class 2 | ODSGR    |  0.00008 | 0.00004 |   2.217 |   0.02659
class 2 | ECOSTAZ  | -0.00007 | 0.00003 |  -2.230 |   0.02572
class 3 | SESSO    | -0.03087 | 0.00266 | -11.614 |         0
class 3 | ETAMi    | -0.07211 | 0.00336 | -21.483 |         0
class 3 | CONDMi   |  0.01671 | 0.00331 |   5.051 | 4.403e-07
class 3 | REDPRMi  |  0.00527 | 0.00333 |   1.581 |     0.114
class 3 | TIPFA2Mi |  0.00687 | 0.00296 |   2.317 |   0.02049
class 3 | STCIVMi  |  0.00133 | 0.00317 |   0.418 |    0.6761
class 3 | NCOMP    |  0.00384 | 0.00338 |   1.136 |    0.2558
class 3 | SERRA    | -0.02333 | 0.00264 |  -8.841 |         0
class 3 | ESTINZ   | -0.02064 | 0.00265 |  -7.784 | 7.105e-15
class 3 | CAMCLI   | -0.02550 | 0.00261 |  -9.768 |         0
class 3 | SMARIF   | -0.03050 | 0.00262 | -11.662 |         0
class 3 | AMRUM    | -0.00207 | 0.00261 |  -0.792 |    0.4285
class 3 | IARIA    | -0.02428 | 0.00263 |  -9.237 |         0
class 3 | INQSU    | -0.02233 | 0.00267 |  -8.360 |         0
class 3 | INQFIU   | -0.02411 | 0.00263 |  -9.159 |         0
class 3 | DISDR    | -0.01861 | 0.00265 |  -7.022 |  2.19e-12
class 3 | CATASTR  | -0.02220 | 0.00263 |  -8.456 |         0
class 3 | FORES2   | -0.01694 | 0.00262 |  -6.474 |  9.53e-11
class 3 | INQELET2 | -0.01601 | 0.00264 |  -6.070 | 1.276e-09
class 3 | PAESAG2  | -0.00845 | 0.00259 |  -3.263 |  0.001101
class 3 | ESRISO2  | -0.01735 | 0.00260 |  -6.665 | 2.652e-11
class 3 | REGMf    | -0.02577 | 0.00579 |  -4.453 | 8.484e-06
class 3 | RIPMf    |  0.01688 | 0.00559 |   3.019 |  0.002535
class 3 | SPORCO   | -0.00884 | 0.00300 |  -2.951 |  0.003172
class 3 | TRAF     |  0.01013 | 0.00291 |   3.480 | 0.0005017
class 3 | ODSGR    | -0.00691 | 0.00295 |  -2.345 |   0.01905
class 3 | ECOSTAZ  |  0.00610 | 0.00259 |   2.359 |   0.01834
