cluster,size,mean_sprener,mean_spracqua,dominant_sprener,dominant_spracqua
0,14995,1.5077025675225075,1.5329109703234411,1,1
1,14361,1.4033841654480885,1.42455260775712,1,1
2,10473,1.4598491358731978,1.5202902702186576,1,1
