cluster,size,mean_sprener,mean_spracqua,dominant_sprener,dominant_spracqua
0,8813,1.7133779643708158,1.6980596845569045,1,1
1,17619,1.309665701799194,1.3495658096373233,1,1
2,13397,1.4836157348660148,1.5393744868254087,1,1
