model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc
dummy_most_frequent,0.6839066030630179,0.25,0.2030714179215745,0.5555275344397378,0.0
random_forest,0.7296008034145117,0.4143103021091608,0.4532836410518161,0.6632803498977412,0.3316941452405656
balanced_random_forest,0.5820570759059336,0.5283313958319779,0.45360362896583334,0.6136477616644959,0.2914440198189049
