sprener,USAGETT,ARUMOR,ALOCAL,ETICHET,BIOLOG,PUNTIFI10,TRASPO,PUNTIFI3,LIBFAM,ETAMi
1.0,2.3521859197360397,1.9940106875156907,2.040096115912922,1.962844744109314,2.4088512713839974,5.318079116307428,2.796973066025894,7.014560843524729,4.384140874367894,11.839507943908474
2.0,2.358852933438569,2.298210997106025,2.2476979742173113,2.1773217574322548,2.4986845566956064,5.133517495395949,2.875822152065246,6.620363062352013,4.472770323599053,10.881873191265456
3.0,2.4676616915422884,2.657545605306799,2.5348258706467663,2.501658374792703,2.736318407960199,4.881011608623549,3.0638474295190714,6.416252072968491,4.271973466003317,10.381011608623549
4.0,3.281055900621118,3.482919254658385,3.2562111801242235,3.24120082815735,3.4270186335403725,4.358695652173913,3.62008281573499,5.840062111801243,3.618530020703934,11.349378881987578
