model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc
dummy_most_frequent,0.700058582308143,0.25,0.2058924879393522,0.5765472128588772,0.0
random_forest,0.7414009540547326,0.42001166257104067,0.4580958008683019,0.6766133803520119,0.32839165326079134
balanced_random_forest,0.5992970123022847,0.5366829080986385,0.46354838971588985,0.6321520459469243,0.30123353335061964
