spracqua,USAGETT,ARUMOR,ALOCAL,ETICHET,BIOLOG,PUNTIFI10,TRASPO,PUNTIFI3,LIBFAM,ETAMi
1.0,2.3598986821335486,1.9806541610073052,2.0355713813736647,1.9483866231048788,2.3989941632098675,5.3367717778348815,2.7846261150471716,7.026320619654197,4.407951249954113,11.794721192320399
2.0,2.3368922047851814,2.3040905582711604,2.243503987651145,2.2074864934396707,2.5038590172369437,5.082968870594288,2.8979933110367893,6.609210187805505,4.425649601234886,10.946231026498586
3.0,2.4669652855543114,2.6397909667786488,2.505785740948115,2.4662187383351997,2.756998880179171,4.918626353116835,3.0910787607316164,6.402015677491601,4.226577081000373,10.7170586039567
4.0,3.1601873536299765,3.4051522248243558,3.1714285714285713,3.1540983606557376,3.3629976580796255,4.417798594847775,3.544730679156909,5.966744730679157,3.622950819672131,11.57096018735363
